234,Sunday in Åsgardstrand,1891,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"canvas, oil","59,5 x 88",234.jpg
235,Young Blond Girl,1891,Private collection,,"canvas, oil","27,5 x 21,5",235.jpg
236,Summer Evening in Åsgardstrand,1891,Location unknown,,"canvas, oil",40 x 66,236.jpg
237,In Open Air,1891,"Munch Museum, Oslo, Norway",,"canvas, oil",65 x 120,237.jpg
238,Summer,1891,Location unknown,,"canvas, wax pastel and pastel","54,5 x 74",238.jpg
239,Eroticism on a Summer Evening,1891,"Munch Museum, Oslo, Norway",,"canvas, oil",65 x 91,239.jpg
240,Karl Johan in the Rain,1891,"Munch Museum, Oslo, Norway",,"canvas, oil",38 x 55,240.jpg
241,Evening. Melancholy,1891,"Munch Museum, Oslo, Norway",,"canvas, oil, pencil and wax pastel",73 x 101,241.jpg
242,Woman in Blue against Blue Water,1891,Private collection,,"canvas, oil",99 x 65,242.jpg
243,Old Fisherman,1891,Location unknown,,pastel,100 x 60,243.jpg
244,Pine Forest,1891–92,Private collection,,"canvas, oil","58,5 x 72,5",244.jpg
245,Summer Day in the Forest,1891,Location unknown,,"wood panel, oil",23 x 17,245.jpg
246,Forest Landscape,1891,Location unknown,,"canvas, oil","33,5 x 47",246.jpg
247,From Nordstrand,1891,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"canvas, oil","60 x 73,5",247.jpg
248,Landscape in Moonlight,1891,"The Art Museums in Bergen, Norway. Bergen Art Museum (Stenersen's collection)",,"canvas, oil",38 x 55,248.jpg
249,Woman by the Balustrade,1891,"Horten, Norway",,"canvas, oil",85 x 100,249.jpg
250,Inger in a White Blouse,1891,"Munch Museum, Oslo, Norway",,"canvas, oil","81,5 x 66,5",250.jpg
251,Jappe Nilssen,1891,Private collection,,"canvas, pastel","60,5 x 45",251.jpg
252,Arve Arvesen,1891,Private collection,,"canvas, oil",48 x 57,252.jpg
253,Gunnar Heiberg,1891,Private collection,,"canvas, pastel","73,5 x 59,5",253.jpg
254,Helge Rode,1891,"The Museum of National History, Fredriksborg Palace, Hillerød, Denmark",,"canvas, wax pastel","80,5 x 54",254.jpg
255,Olga Buhre,1891,"Statens Museum for Kunst, Copenhagen, Denmark",,"canvas, oil",73 x 59,255.jpg
256,Alexandra Thaulow,1891,"Von der Heydt Museum, Wuppertal, Germany",,"canvas, oil",132 x 88,256.jpg
257,Kiss by the Window,1891,"Munch Museum, Oslo, Norway",,"canvas, oil","72 x 64,5",257.jpg
258,The Day After,1891–92,Probably lost,lost,?,?,
259,Childhood Memory,1892,"Munch Museum, Oslo, Norway",,"unprimed carton, oil",81 x 58,259.jpg
260,Childhood Memory,1892,Location unknown,,"canvas, wax pastel and pencil","40,5 x 32,5",260.jpg
261,Gamblers in Monte Carlo,1892,"Munch Museum, Oslo, Norway",,"canvas, oil",54 x 65,261.jpg
262,Gamblers in Monte Carlo,1892,Private collection,,"canvas, oil",72 x 92,262.jpg
263,At the Roulette Table in Monte Carlo,1892,"Munch Museum, Oslo, Norway",,"canvas, oil","74,5 x 116",263.jpg
